Erreur_D;Erreur_H;CanopeeMax_D;CanopeeMax_H;Longevite;r;AgePlantation;GSM
0.2926411459814032;0.5611152458210503;8;13;50;0.8200000000000001;8;0.75;
0.29370654065079715;0.5685183858027419;8;13;70;0.9;10;0.75;
0.293847324535863;0.5706109701099433;8;13;60;0.86;10;0.75;
0.2941490051657743;0.5645564415677433;8;13;40;0.8;6;0.8;
0.2941934491147741;0.5762171270792001;9;13;60;0.86;10;0.65;
0.29442360901251524;0.6015965498795607;10;13;40;0.8;6;0.65;
0.29457280108115996;0.589893612184905;10;13;60;0.88;8;0.6;
0.2945728010811601;0.5537425154825139;8;13;60;0.88;8;0.75;
0.294961580806213;0.5887016099294677;9;13;40;0.8;6;0.7;
0.2954524046751198;0.5831278462185638;8;13;50;0.8200000000000001;10;0.75;
0.29556852844306686;0.57013846564114;8;13;60;0.8400000000000001;10;0.75;
0.2955685284430669;0.5946147317889301;10;13;60;0.8400000000000001;10;0.6;
0.2955745826402049;0.5927692534922405;10;13;70;0.9;12;0.6;
0.295574582640205;0.5871154130191468;8;13;70;0.9;12;0.75;
0.2959946231156663;0.617656044485524;11;13;40;0.8;6;0.6;
0.29624130564686973;0.5539669762681291;8;13;60;0.86;8;0.75;
0.2962413056468698;0.5961934100743324;10;13;60;0.86;8;0.6;
0.29640566133186813;0.5841741563933266;9;13;50;0.8200000000000001;8;0.65;
0.2964331972575529;0.5840963638667881;8;13;70;0.88;12;0.75;
0.2965781928189349;0.5705923738673695;9;13;50;0.8200000000000001;8;0.7;
